# KS X 1001 Ideographs (4,620)
000059D9	uni59D9-JP
000059DA	uni59DA-JP
000059DC	uni59DC-JP
000059DD	uni59DD-JP
000059E6	uni59E6-JP
000059E8	uni59E8-JP
000059EA	uni59EA-JP
000059EC	u2F862-JP
000059EE	uni59EE-JP
000059F8	uni59F8-JP
000059FB	uni59FB-JP
000059FF	uni59FFuE0101-JP
00005A01	uni5A01-JP
00005A03	uni5A03-JP
00005A11	uni5A11-JP
00005A18	uni5A18-JP
00005A1B	uni5A1B-JP
00005A1C	uni5A1CuE0101-JP
00005A1F	uni5A1F-JP
00005A20	uni5A20-JP
00005A25	uni5A25-JP
00005A29	uni5A29-JP
00005A36	uni5A36-JP
00005A3C	uni5A3C-JP
00005A41	uni5A41-JP
00005A46	uni5A46-JP
00005A49	uni5A49-JP
00005A5A	uni5A5A-JP
00005A62	uni5A62-JP
00005A66	uni5A66uE0101-JP
00005A92	uni5A92-JP
00005A9A	uni5A9A-JP
00005A9B	uni5A9BuE0101-JP
00005AA4	uni5AA4-JP
00005AC1	uni5AC1-JP
00005AC2	uni5AC2-JP
00005AC4	uni5AC4-JP
00005AC9	uni5AC9-JP
00005ACC	uni5ACCuE0101-JP
00005AE1	uni5AE1-JP
00005AE6	uni5AE6-JP
00005AE9	uni5AE9-JP
00005B05	uni5B05-JP
00005B09	uni5B09-JP
00005B0B	uni5B0B-JP
00005B0C	uni5B0C-JP
00005B16	uni5B16-JP
00005B2A	uni5B2A-JP
00005B40	uni5B40-JP
00005B43	uni5B43-JP
00005B50	uni5B50-JP
00005B51	uni5B51-JP
00005B54	uni5B54-JP
00005B55	uni5B55-JP
00005B57	uni5B57-JP
00005B58	uni5B58-JP
00005B5A	uni5B5A-JP
00005B5C	uni5B5C-JP
00005B5D	uni5B5D-JP
00005B5F	uni5B5F-JP
00005B63	uni5B63-JP
00005B64	uni5B64-JP
00005B69	uni5B69-JP
00005B6B	uni5B6B-JP
00005B70	uni5B70-JP
00005B71	uni5B71-JP
00005B75	uni5B75-JP
00005B78	uni5B78-JP
00005B7A	uni5B7A-JP
00005B7C	uni5B7CuE0101-JP
00005B85	uni5B85-JP
00005B87	uni5B87-JP
00005B88	uni5B88-JP
00005B89	uni5B89-JP
00005B8B	uni5B8B-JP
00005B8C	uni5B8C-JP
00005B8F	uni5B8F-JP
00005B93	uni5B93-JP
00005B95	uni5B95-JP
00005B96	uni5B96-JP
00005B97	uni5B97-JP
00005B98	uni5B98-JP
00005B99	uni5B99-JP
00005B9A	uni5B9A-JP
00005B9B	uni5B9B-JP
00005B9C	uni5B9C-JP
00005BA2	uni5BA2-JP
00005BA3	uni5BA3-JP
00005BA4	uni5BA4-JP
00005BA5	uni5BA5-JP
00005BA6	uni5BA6-JP
00005BAC	uni5BAC-KR
00005BAE	uni5BAE-JP
00005BB0	uni5BB0-JP
00005BB3	uni5BB3-JP
00005BB4	uni5BB4-JP
00005BB5	uni5BB5uE0101-JP
00005BB6	uni5BB6-JP
00005BB8	uni5BB8-JP
00005BB9	uni5BB9-JP
00005BBF	uni5BBF-JP
00005BC0	uni5BC0-JP
00005BC2	uni5BC2-JP
00005BC3	uni5BC3-JP
00005BC4	uni5BC4-JP
00005BC5	uni5BC5-JP
00005BC6	uni5BC6-JP
00005BC7	uni5BC7-JP
00005BCC	uni5BCC-JP
00005BD0	uni5BD0-KR
00005BD2	uni5BD2uE0101-JP
00005BD3	uni5BD3-JP
00005BD4	uni5BD4-JP
00005BD7	uni5BD7-JP
00005BDE	uni5BDE-JP
00005BDF	uni5BDF-JP
00005BE1	uni5BE1-JP
00005BE2	uni5BE2-JP
00005BE4	uni5BE4-JP
00005BE5	uni5BE5-JP
00005BE6	uni5BE6-JP
00005BE7	uni5BE7uE0100-JP
00005BE8	uni5BE8-JP
00005BE9	uni5BE9-JP
00005BEB	uni5BEB-JP
00005BEC	uni5BEC-JP
00005BEE	uni5BEE-JP
00005BEF	uni5BEF-JP
00005BF5	uni5BF5-JP
00005BF6	uni5BF6-JP
00005BF8	uni5BF8-CN
00005BFA	uni5BFA-JP
00005C01	uni5C01-CN
00005C04	uni5C04-JP
00005C07	uni5C07-JP
00005C08	uni5C08-JP
00005C09	uni5C09-JP
00005C0A	uni5C0AuE0102-JP
00005C0B	uni5C0BuE0101-JP
00005C0D	uni5C0D-JP
00005C0E	uni5C0EuE0101-JP
00005C0F	uni5C0F-JP
00005C11	uni5C11-JP
00005C16	uni5C16-JP
00005C19	uni5C19-JP
00005C24	uni5C24-CN
00005C28	uni5C28uE0101-JP
00005C31	uni5C31-JP
00005C38	uni5C38-JP
00005C39	uni5C39-CN
00005C3A	uni5C3A-CN
00005C3B	uni5C3B-JP
00005C3C	uni5C3C-CN
00005C3E	uni5C3E-CN
00005C3F	uni5C3F-CN
00005C40	uni5C40-JP
00005C45	uni5C45-JP
00005C46	uni5C46-JP
00005C48	uni5C48-JP
00005C4B	uni5C4B-JP
00005C4D	uni5C4D-JP
00005C4E	uni5C4E-CN
00005C51	uni5C51-JP
00005C55	uni5C55-JP
00005C5B	uni5C5B-JP
00005C60	uni5C60-JP
00005C62	uni5C62-JP
00005C64	uniFA3B-JP
00005C65	uni5C65-CN
00005C6C	uni5C6C-JP
00005C6F	uni5C6F-JP
00005C71	uni5C71-JP
00005C79	uni5C79-JP
00005C90	uni5C90-JP
00005C91	uni5C91-JP
00005CA1	uni5CA1-JP
00005CA9	uni5CA9-CN
00005CAB	uni5CAB-JP
00005CAC	uni5CAC-JP
00005CB1	uni5CB1-JP
00005CB3	uni5CB3-JP
00005CB5	uni5CB5-JP
00005CB7	uni5CB7-JP
00005CB8	uni5CB8-CN
00005CBA	uni5CBA-JP
00005CBE	uni5CBE-JP
00005CC0	uni5CC0-CN
00005CD9	uni5CD9-JP
00005CE0	uni5CE0-JP
00005CE8	uni5CE8-JP
00005CEF	uni5CEF-KR
00005CF0	uni5CF0-JP
00005CF4	uni5CF4-JP
00005CF6	uni5CF6-JP
00005CFB	uni5CFB-JP
00005CFD	uni5CFD-JP
00005D07	uni5D07-JP
00005D0D	uni5D0D-JP
00005D0E	uni5D0E-JP
00005D11	uni5D11-JP
00005D14	uni5D14-JP
00005D16	uni5D16-JP
00005D17	uni5D17-JP
00005D19	uni5D19-JP
00005D27	uni5D27-JP
00005D29	uni5D29-CN
00005D4B	uni5D4B-JP
00005D4C	uni5D4C-JP
00005D50	uni5D50-JP
00005D69	uni5D69-JP
